> CRF
120.6267 22.7994 0.1141
120.6268 22.7971 0.1049
120.6268 22.7948 0.0957
120.6269 22.7925 0.0866
120.6270 22.7903 0.0774
120.6271 22.7880 0.0682
120.6272 22.7857 0.0590
120.6272 22.7834 0.0499
120.6273 22.7812 0.0407
120.6274 22.7789 0.0315
120.6275 22.7766 0.0223
120.6275 22.7743 0.0132
120.6276 22.7721 0.0040
120.6270 22.7698 0.0864
120.6264 22.7676 0.1689
120.6257 22.7653 0.2513
120.6251 22.7630 0.3338
120.6245 22.7608 0.4162
120.6238 22.7585 0.4987
120.6232 22.7563 0.5811
120.6226 22.7540 0.6636
120.6220 22.7518 0.7460
120.6213 22.7495 0.8285
120.6207 22.7473 0.9109
120.6201 22.7450 0.9934
120.6194 22.7428 1.0758
120.6188 22.7405 1.1583
120.6182 22.7382 1.2407
120.6176 22.7360 1.3232
120.6169 22.7337 1.4056
120.6163 22.7315 1.4881
120.6157 22.7292 1.5705
120.6151 22.7270 1.6530
120.6147 22.7246 1.6738
120.6144 22.7223 1.6947
120.6140 22.7200 1.7155
120.6137 22.7176 1.7364
120.6133 22.7153 1.7572
120.6130 22.7129 1.7781
120.6127 22.7106 1.7989
120.6123 22.7083 1.8197
120.6120 22.7059 1.8406
120.6116 22.7036 1.8614
120.6113 22.7012 1.8823
120.6109 22.6989 1.9031
120.6106 22.6966 1.9240
120.6103 22.6942 1.9448
120.6099 22.6919 1.9657
120.6096 22.6895 1.9865
120.6092 22.6872 2.0074
120.6089 22.6849 2.0282
120.6086 22.6825 2.0491
120.6082 22.6802 2.0699
120.6079 22.6779 2.0265
120.6076 22.6755 1.9831
120.6073 22.6732 1.9397
120.6070 22.6709 1.8963
120.6067 22.6686 1.8529
120.6064 22.6663 1.8095
120.6061 22.6639 1.7661
120.6058 22.6616 1.7227
120.6055 22.6593 1.6793
120.6052 22.6570 1.6359
120.6048 22.6546 1.5925
120.6045 22.6523 1.5491
120.6042 22.6500 1.5057
120.6039 22.6477 1.4623
120.6036 22.6454 1.4189
120.6033 22.6430 1.3755
120.6030 22.6407 1.3321
120.6027 22.6384 1.2887
120.6024 22.6361 1.2453
120.6021 22.6338 1.2019
120.6030 22.6315 1.1991
120.6038 22.6293 1.1962
120.6047 22.6271 1.1934
120.6055 22.6249 1.1906
120.6064 22.6227 1.1878
120.6073 22.6205 1.1850
120.6081 22.6183 1.1821
120.6090 22.6161 1.1793
120.6098 22.6139 1.1765
120.6107 22.6116 1.1737
120.6116 22.6094 1.1709
120.6124 22.6072 1.1680
120.6133 22.6050 1.1652
120.6142 22.6028 1.1624
120.6150 22.6006 1.1596
120.6159 22.5984 1.1568
120.6167 22.5962 1.1539
120.6176 22.5940 1.1511
120.6185 22.5918 1.1483
120.6193 22.5895 1.1455
120.6194 22.5873 1.1323
120.6195 22.5850 1.1192
120.6197 22.5827 1.1060
120.6198 22.5804 1.0928
120.6199 22.5781 1.0797
120.6200 22.5758 1.0665
120.6201 22.5735 1.0534
120.6202 22.5712 1.0402
120.6203 22.5689 1.0270
120.6204 22.5667 1.0139
120.6205 22.5644 1.0007
120.6206 22.5621 0.9875
120.6207 22.5598 0.9744
120.6208 22.5575 0.9612
120.6209 22.5552 0.9481
120.6211 22.5529 0.9349
120.6212 22.5506 0.9217
120.6213 22.5483 0.9086
120.6214 22.5461 0.8954
120.6215 22.5438 0.8823
120.6214 22.5415 0.8926
120.6213 22.5391 0.9029
120.6213 22.5368 0.9132
120.6212 22.5345 0.9235
120.6211 22.5322 0.9338
120.6210 22.5299 0.9441
120.6210 22.5276 0.9545
120.6209 22.5253 0.9648
120.6208 22.5230 0.9751
120.6208 22.5207 0.9854
120.6207 22.5184 0.9957
120.6206 22.5161 1.0060
120.6205 22.5138 1.0163
120.6205 22.5115 1.0267
120.6204 22.5092 1.0370
120.6203 22.5068 1.0473
120.6202 22.5045 1.0576
120.6202 22.5022 1.0679
120.6201 22.4999 1.0782
120.6200 22.4976 1.0885
120.6196 22.4954 1.1502
120.6191 22.4931 1.2119
120.6186 22.4909 1.2736
120.6182 22.4887 1.3353
120.6177 22.4864 1.3970
120.6172 22.4842 1.4587
120.6168 22.4820 1.5204
120.6163 22.4797 1.5821
120.6158 22.4775 1.6438
120.6153 22.4753 1.7055
120.6149 22.4730 1.7672
120.6144 22.4708 1.8289
120.6139 22.4685 1.8905
120.6135 22.4663 1.9522
120.6130 22.4641 2.0139
120.6125 22.4618 2.0756
120.6121 22.4596 2.1373
120.6116 22.4574 2.1990
120.6111 22.4551 2.2607
120.6107 22.4529 2.3224
120.6108 22.4505 2.3120
120.6108 22.4482 2.3015
120.6109 22.4458 2.2911
120.6110 22.4435 2.2806
120.6111 22.4412 2.2702
120.6112 22.4388 2.2598
120.6113 22.4365 2.2493
120.6114 22.4341 2.2389
