> CRF
120.6686 23.0630 5.8802
120.6675 23.0608 5.8802
120.6665 23.0587 5.8802
120.6654 23.0566 5.8802
120.6643 23.0544 5.8802
120.6632 23.0523 5.8802
120.6622 23.0502 5.8802
120.6611 23.0480 5.8802
120.6600 23.0459 5.8802
120.6590 23.0438 5.8802
120.6582 23.0415 5.8802
120.6575 23.0392 5.8802
120.6568 23.0370 5.8802
120.6560 23.0347 5.8802
120.6553 23.0325 5.8802
120.6546 23.0302 5.8802
120.6538 23.0280 5.8802
120.6531 23.0257 5.8802
120.6524 23.0234 5.8802
120.6516 23.0212 5.8802
120.6509 23.0189 5.8802
120.6502 23.0167 5.8802
120.6495 23.0144 5.8802
120.6487 23.0121 5.8802
120.6480 23.0099 5.8802
120.6473 23.0076 5.8802
120.6465 23.0054 5.8802
120.6458 23.0031 5.8802
120.6451 23.0008 5.8802
120.6443 22.9986 5.8802
120.6446 22.9963 5.8802
120.6449 22.9940 5.8802
120.6451 22.9918 5.8802
120.6454 22.9895 5.8802
120.6457 22.9872 5.8802
120.6460 22.9849 5.8802
120.6462 22.9827 5.8802
120.6465 22.9804 5.8802
120.6468 22.9781 5.8802
120.6471 22.9758 5.8802
120.6473 22.9736 5.8802
120.6476 22.9713 5.8802
120.6479 22.9690 5.8802
120.6482 22.9667 5.8802
120.6484 22.9645 5.8802
120.6487 22.9622 5.8802
120.6490 22.9599 5.8802
120.6493 22.9576 5.8802
120.6495 22.9554 5.8802
120.6498 22.9531 5.8802
120.6498 22.9508 5.8802
120.6498 22.9484 5.8802
120.6499 22.9461 5.8802
120.6499 22.9438 5.8802
120.6499 22.9415 5.8802
120.6499 22.9392 5.8802
120.6499 22.9368 5.8802
120.6500 22.9345 5.8802
120.6500 22.9322 5.8802
120.6500 22.9299 5.8802
120.6500 22.9276 5.8802
120.6500 22.9252 5.8802
120.6501 22.9229 5.8802
120.6501 22.9206 5.8802
120.6501 22.9183 5.8802
120.6501 22.9160 5.8802
120.6501 22.9136 5.8802
120.6501 22.9113 5.8802
120.6502 22.9090 5.8802
120.6502 22.9067 5.8802
120.6493 22.9045 5.8802
120.6485 22.9023 5.8802
120.6476 22.9002 5.8802
120.6468 22.8980 5.8802
120.6459 22.8959 5.8802
120.6451 22.8937 5.8802
120.6442 22.8915 5.8802
120.6434 22.8894 5.8802
120.6425 22.8872 5.8802
120.6417 22.8851 5.8802
120.6408 22.8829 5.8802
120.6400 22.8807 5.8802
120.6391 22.8786 5.8802
120.6383 22.8764 5.8802
120.6374 22.8743 5.8802
120.6366 22.8721 5.8802
120.6357 22.8699 5.8802
120.6348 22.8678 5.8802
120.6340 22.8656 5.8802
120.6331 22.8635 5.8802
120.6328 22.8612 5.8802
120.6324 22.8589 5.8802
120.6321 22.8566 5.8802
120.6317 22.8543 5.8802
120.6314 22.8520 5.8802
120.6310 22.8497 5.8802
120.6307 22.8474 5.8802
120.6303 22.8451 5.8802
120.6300 22.8428 5.8802
120.6296 22.8405 5.8802
120.6293 22.8382 5.8802
120.6289 22.8359 5.8802
120.6285 22.8336 5.8802
120.6282 22.8313 5.8802
120.6278 22.8290 5.8802
120.6275 22.8268 5.8802
120.6271 22.8245 5.8802
120.6268 22.8222 5.8802
120.6264 22.8199 5.8802
120.6261 22.8176 5.8802
120.6262 22.8153 5.8802
120.6262 22.8130 5.8802
120.6263 22.8108 5.8802
120.6264 22.8085 5.8802
120.6265 22.8062 5.8802
120.6265 22.8039 5.8802
120.6266 22.8016 5.8802
120.6267 22.7994 5.8802
120.6268 22.7971 5.8802
120.6268 22.7948 5.8802
120.6269 22.7925 5.8802
120.6270 22.7903 5.8802
120.6271 22.7880 5.8802
120.6272 22.7857 5.8802
120.6272 22.7834 5.8802
120.6273 22.7812 5.8802
120.6274 22.7789 5.8802
120.6275 22.7766 5.8802
120.6275 22.7743 5.8802
120.6276 22.7721 5.8802
120.6270 22.7698 5.8802
120.6264 22.7676 5.8802
120.6257 22.7653 5.8802
120.6251 22.7630 5.8802
120.6245 22.7608 5.8802
120.6238 22.7585 5.8802
120.6232 22.7563 5.8802
120.6226 22.7540 5.8802
120.6220 22.7518 5.8802
120.6213 22.7495 5.8802
120.6207 22.7473 5.8802
120.6201 22.7450 5.8802
120.6194 22.7428 5.8802
120.6188 22.7405 5.8802
120.6182 22.7382 5.8802
120.6176 22.7360 5.8802
120.6169 22.7337 5.8802
120.6163 22.7315 5.8802
120.6157 22.7292 5.8802
120.6151 22.7270 5.8802
120.6147 22.7246 5.8802
120.6144 22.7223 5.8802
120.6140 22.7200 5.8802
120.6137 22.7176 5.8802
120.6133 22.7153 5.8802
120.6130 22.7129 5.8802
120.6127 22.7106 5.8802
120.6123 22.7083 5.8802
120.6120 22.7059 5.8802
120.6116 22.7036 5.8802
120.6113 22.7012 5.8802
120.6109 22.6989 5.8802
120.6106 22.6966 5.8802
120.6103 22.6942 5.8802
120.6099 22.6919 5.8802
120.6096 22.6895 5.8802
120.6092 22.6872 5.8802
120.6089 22.6849 5.8802
120.6086 22.6825 5.8802
120.6082 22.6802 5.8802
120.6079 22.6779 5.8802
120.6076 22.6755 5.8802
120.6073 22.6732 5.8802
120.6070 22.6709 5.8802
120.6067 22.6686 5.8802
120.6064 22.6663 5.8802
120.6061 22.6639 5.8802
120.6058 22.6616 5.8802
120.6055 22.6593 5.8802
120.6052 22.6570 5.8802
120.6048 22.6546 5.8802
120.6045 22.6523 5.8802
120.6042 22.6500 5.8802
120.6039 22.6477 5.8802
120.6036 22.6454 5.8802
120.6033 22.6430 5.8802
120.6030 22.6407 5.8802
120.6027 22.6384 5.8802
120.6024 22.6361 5.8802
120.6021 22.6338 5.8802
120.6030 22.6315 5.8802
120.6038 22.6293 5.8802
120.6047 22.6271 5.8802
120.6055 22.6249 5.8802
120.6064 22.6227 5.8802
120.6073 22.6205 5.8802
120.6081 22.6183 5.8802
120.6090 22.6161 5.8802
120.6098 22.6139 5.8802
120.6107 22.6116 5.8802
120.6116 22.6094 5.8802
120.6124 22.6072 5.8802
120.6133 22.6050 5.8802
120.6142 22.6028 5.8802
120.6150 22.6006 5.8802
120.6159 22.5984 5.8802
120.6167 22.5962 5.8802
120.6176 22.5940 5.8802
